Week,Game,courts 1,courts 2,courts 3,courts 4,courts 5
Week 1,Game 1,['Team 5 vs. Team 9'],['Team 10 vs. Team 8'],['Team 2 vs. Team 3'],['Team 1 vs. Team 7'],['Team 4 vs. Team 6']
Week 1,Game 2,['Team 10 vs. Team 9'],['Team 2 vs. Team 8'],['Team 1 vs. Team 3'],['Team 6 vs. Team 7'],['Team 4 vs. Team 5']
Week 2,Game 1,['Team 7 vs. Team 9'],['Team 1 vs. Team 3'],['Team 5 vs. Team 6'],['Team 10 vs. Team 2'],['Team 4 vs. Team 8']
Week 2,Game 2,['Team 3 vs. Team 7'],['Team 1 vs. Team 6'],['Team 10 vs. Team 5'],['Team 2 vs. Team 4'],['Team 8 vs. Team 9']
Week 3,Game 1,['Team 1 vs. Team 8'],['Team 2 vs. Team 3'],['Team 10 vs. Team 9'],['Team 4 vs. Team 6'],['Team 5 vs. Team 7']
Week 3,Game 2,['Team 2 vs. Team 8'],['Team 3 vs. Team 9'],['Team 10 vs. Team 6'],['Team 4 vs. Team 7'],['Team 1 vs. Team 5']
Week 4,Game 1,['Team 5 vs. Team 6'],['Team 10 vs. Team 1'],['Team 3 vs. Team 4'],['Team 7 vs. Team 9'],['Team 2 vs. Team 8']
Week 4,Game 2,['Team 1 vs. Team 6'],['Team 10 vs. Team 4'],['Team 3 vs. Team 9'],['Team 7 vs. Team 8'],['Team 2 vs. Team 5']
Week 5,Game 1,['Team 2 vs. Team 7'],['Team 1 vs. Team 6'],['Team 10 vs. Team 3'],['Team 4 vs. Team 9'],['Team 5 vs. Team 8']
Week 5,Game 2,['Team 2 vs. Team 6'],['Team 1 vs. Team 3'],['Team 10 vs. Team 4'],['Team 5 vs. Team 9'],['Team 7 vs. Team 8']
Week 6,Game 1,['Team 4 vs. Team 9'],['Team 7 vs. Team 8'],['Team 3 vs. Team 5'],['Team 10 vs. Team 1'],['Team 2 vs. Team 6']
Week 6,Game 2,['Team 7 vs. Team 9'],['Team 3 vs. Team 8'],['Team 10 vs. Team 5'],['Team 1 vs. Team 2'],['Team 4 vs. Team 6']
Week 7,Game 1,['Team 3 vs. Team 5'],['Team 10 vs. Team 4'],['Team 1 vs. Team 2'],['Team 7 vs. Team 9'],['Team 6 vs. Team 8']
Week 7,Game 2,['Team 10 vs. Team 3'],['Team 2 vs. Team 4'],['Team 1 vs. Team 7'],['Team 8 vs. Team 9'],['Team 5 vs. Team 6']
Week 8,Game 1,['Team 10 vs. Team 2'],['Team 5 vs. Team 6'],['Team 1 vs. Team 7'],['Team 8 vs. Team 9'],['Team 3 vs. Team 4']
Week 8,Game 2,['Team 2 vs. Team 5'],['Team 6 vs. Team 7'],['Team 1 vs. Team 8'],['Team 4 vs. Team 9'],['Team 10 vs. Team 3']
Week 9,Game 1,['Team 2 vs. Team 8'],['Team 3 vs. Team 7'],['Team 10 vs. Team 4'],['Team 6 vs. Team 9'],['Team 1 vs. Team 5']
Week 9,Game 2,['Team 2 vs. Team 3'],['Team 10 vs. Team 7'],['Team 4 vs. Team 6'],['Team 5 vs. Team 9'],['Team 1 vs. Team 8']
